epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,31830.2,1.05783,0.54344,1.0324,0.85639,0.83011,0.87722,0.56615,0.73206,0.48602,0.9305,0.00561571,0.00561571,0.00561571
157,32034.5,1.05855,0.53963,1.0302,0.8571,0.83055,0.87777,0.56664,0.73177,0.4864,0.93044,0.00558743,0.00558743,0.00558743
158,32238.1,1.05565,0.55163,1.02807,0.85654,0.82958,0.87746,0.56644,0.73145,0.48653,0.93033,0.00555914,0.00555914,0.00555914
159,32441,1.05313,0.54686,1.02841,0.85608,0.83007,0.87759,0.56667,0.73141,0.4861,0.9303,0.00553086,0.00553086,0.00553086
160,32646.4,1.05586,0.54093,1.02775,0.85471,0.82994,0.8777,0.56642,0.73109,0.48657,0.93022,0.00550257,0.00550257,0.00550257
161,32850.7,1.05929,0.54404,1.03598,0.8536,0.82932,0.87638,0.56642,0.73083,0.48637,0.93015,0.00547429,0.00547429,0.00547429
162,33054.8,1.04684,0.54094,1.03146,0.85464,0.83029,0.87728,0.56638,0.73077,0.48668,0.93013,0.005446,0.005446,0.005446
163,33258.6,1.05175,0.53823,1.03116,0.85506,0.83081,0.87782,0.56673,0.73082,0.48621,0.93023,0.00541771,0.00541771,0.00541771
164,33463.1,1.05254,0.54083,1.02994,0.85503,0.8306,0.87794,0.56712,0.73065,0.48623,0.93024,0.00538943,0.00538943,0.00538943
165,33667.7,1.05015,0.54304,1.03095,0.8554,0.83147,0.87838,0.56724,0.7307,0.48584,0.93023,0.00536114,0.00536114,0.00536114
166,33871.3,1.04137,0.53742,1.02787,0.85478,0.83066,0.87812,0.56738,0.73064,0.4859,0.93014,0.00533286,0.00533286,0.00533286
167,34075.4,1.05446,0.54505,1.0282,0.85405,0.83137,0.87867,0.56786,0.73065,0.48589,0.93022,0.00530457,0.00530457,0.00530457
168,34278.9,1.04905,0.53911,1.02889,0.85495,0.83113,0.87938,0.56807,0.73035,0.48536,0.93019,0.00527629,0.00527629,0.00527629
169,34483.7,1.05871,0.5411,1.03435,0.85425,0.83128,0.87901,0.5679,0.73022,0.48558,0.93012,0.005248,0.005248,0.005248
170,34687.8,1.04068,0.53758,1.03182,0.85332,0.83182,0.87871,0.56788,0.73004,0.4856,0.93014,0.00521971,0.00521971,0.00521971
171,34891.7,1.06372,0.54907,1.03022,0.85407,0.83177,0.87912,0.56811,0.72997,0.48561,0.93006,0.00519143,0.00519143,0.00519143
172,35096.1,1.06406,0.54184,1.02646,0.85416,0.83186,0.87941,0.56796,0.72984,0.48564,0.93012,0.00516314,0.00516314,0.00516314
173,35301.4,1.051,0.54567,1.0205,0.85421,0.83175,0.87924,0.56771,0.72975,0.48552,0.93003,0.00513486,0.00513486,0.00513486
174,35505.3,1.03624,0.5378,1.02475,0.8542,0.832,0.87933,0.56754,0.72945,0.48544,0.93005,0.00510657,0.00510657,0.00510657
175,35708.6,1.05364,0.54261,1.03148,0.85412,0.83185,0.87912,0.56777,0.72931,0.48528,0.92994,0.00507829,0.00507829,0.00507829
176,35912.8,1.05308,0.54946,1.03518,0.85412,0.83133,0.87922,0.56776,0.7292,0.48531,0.92991,0.00505,0.00505,0.00505
177,36116.3,1.04543,0.53943,1.02849,0.85512,0.83158,0.87977,0.56796,0.72918,0.48563,0.92988,0.00502171,0.00502171,0.00502171
178,36319.8,1.0488,0.53595,1.02915,0.85408,0.83193,0.87965,0.56785,0.72897,0.48592,0.92987,0.00499343,0.00499343,0.00499343
179,36523.3,1.04038,0.53561,1.02602,0.85411,0.83202,0.87971,0.56803,0.72854,0.48578,0.92976,0.00496514,0.00496514,0.00496514
180,36728.3,1.03964,0.54844,1.02951,0.85439,0.83186,0.87954,0.56782,0.72857,0.48577,0.92975,0.00493686,0.00493686,0.00493686
