epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,26415.6,1.15554,0.5667,1.06496,0.81934,0.84292,0.88524,0.55634,0.76579,0.49205,0.94283,0.00635114,0.00635114,0.00635114
131,26618.8,1.15223,0.58209,1.06737,0.82437,0.84071,0.88496,0.55532,0.76555,0.49225,0.94262,0.00632286,0.00632286,0.00632286
132,26821.2,1.15146,0.58375,1.06118,0.82601,0.83652,0.88408,0.55556,0.76595,0.49188,0.94245,0.00629457,0.00629457,0.00629457
133,27024,1.13845,0.57049,1.06121,0.83117,0.8396,0.88524,0.55563,0.76585,0.49233,0.94246,0.00626629,0.00626629,0.00626629
134,27227.1,1.15188,0.5737,1.07024,0.83683,0.83625,0.88572,0.556,0.76544,0.49257,0.94241,0.006238,0.006238,0.006238
135,27430.4,1.14352,0.57718,1.06399,0.84054,0.83873,0.88632,0.55573,0.76525,0.49215,0.94224,0.00620971,0.00620971,0.00620971
136,27633.7,1.15126,0.57371,1.06641,0.83657,0.84082,0.88549,0.55605,0.76479,0.49271,0.94211,0.00618143,0.00618143,0.00618143
137,27836.1,1.13012,0.56787,1.06225,0.83877,0.83776,0.88582,0.55633,0.76429,0.49212,0.94202,0.00615314,0.00615314,0.00615314
138,28039.2,1.13058,0.56497,1.06251,0.84207,0.83265,0.885,0.55627,0.76399,0.4903,0.94196,0.00612486,0.00612486,0.00612486
139,28241.8,1.15538,0.58261,1.06717,0.84107,0.83265,0.88504,0.55578,0.76383,0.49021,0.94204,0.00609657,0.00609657,0.00609657
140,28445.4,1.14332,0.57241,1.06385,0.83891,0.83268,0.88464,0.55641,0.7636,0.49067,0.94189,0.00606829,0.00606829,0.00606829
141,28648.9,1.1311,0.56652,1.06772,0.83961,0.83339,0.88546,0.55616,0.76356,0.49018,0.94215,0.00604,0.00604,0.00604
142,28851.5,1.13975,0.57092,1.06698,0.84179,0.83056,0.88476,0.55586,0.7631,0.48979,0.94213,0.00601171,0.00601171,0.00601171
143,29054.3,1.14561,0.57061,1.06368,0.84069,0.83527,0.88419,0.55548,0.76271,0.48975,0.94211,0.00598343,0.00598343,0.00598343
144,29257,1.128,0.56572,1.05754,0.84005,0.83602,0.88326,0.55528,0.76232,0.48955,0.94197,0.00595514,0.00595514,0.00595514
145,29460.2,1.14944,0.57298,1.068,0.84196,0.83556,0.88415,0.5557,0.7618,0.48947,0.94173,0.00592686,0.00592686,0.00592686
146,29662.8,1.13103,0.56012,1.0596,0.84479,0.83612,0.88462,0.55526,0.76173,0.48933,0.94171,0.00589857,0.00589857,0.00589857
147,29864.9,1.12125,0.563,1.05358,0.84698,0.83482,0.88472,0.5549,0.7615,0.48974,0.94157,0.00587029,0.00587029,0.00587029
148,30068.3,1.13945,0.56199,1.06695,0.84693,0.83564,0.88496,0.55548,0.76109,0.48857,0.94145,0.005842,0.005842,0.005842
149,30271,1.13248,0.55908,1.05963,0.84857,0.83528,0.88433,0.55553,0.76092,0.48982,0.94147,0.00581371,0.00581371,0.00581371
150,30473.7,1.12054,0.56523,1.06163,0.84673,0.83356,0.88255,0.55574,0.76105,0.48932,0.94147,0.00578543,0.00578543,0.00578543
151,30676.7,1.13735,0.57375,1.05958,0.84991,0.8318,0.88283,0.55596,0.76083,0.48902,0.94148,0.00575714,0.00575714,0.00575714
152,30878.9,1.13089,0.57039,1.05816,0.85072,0.8315,0.88261,0.5564,0.76039,0.48957,0.94138,0.00572886,0.00572886,0.00572886
153,31081.9,1.13489,0.56805,1.0573,0.85227,0.83053,0.88183,0.55588,0.76037,0.48921,0.94135,0.00570057,0.00570057,0.00570057
154,31284.7,1.13163,0.56664,1.05706,0.85448,0.83092,0.88197,0.55614,0.7603,0.48901,0.94121,0.00567229,0.00567229,0.00567229
155,31488.2,1.1405,0.57258,1.06146,0.85332,0.83155,0.88222,0.55617,0.7599,0.48849,0.94094,0.005644,0.005644,0.005644
156,31691.5,1.12636,0.56116,1.0573,0.85382,0.83228,0.88184,0.55648,0.75997,0.48885,0.94105,0.00561571,0.00561571,0.00561571
157,31893.7,1.12623,0.5585,1.05764,0.85232,0.83093,0.88165,0.55684,0.75975,0.48912,0.94102,0.00558743,0.00558743,0.00558743
158,32097.6,1.12319,0.56938,1.05618,0.85334,0.83087,0.88145,0.55616,0.75944,0.48937,0.94094,0.00555914,0.00555914,0.00555914
159,32300.3,1.12077,0.56552,1.05732,0.85301,0.83044,0.88146,0.55625,0.75912,0.48821,0.94085,0.00553086,0.00553086,0.00553086
160,32503.1,1.1234,0.56069,1.05338,0.85552,0.82862,0.88136,0.55642,0.75911,0.48823,0.94095,0.00550257,0.00550257,0.00550257
161,32705.6,1.12414,0.55949,1.05833,0.85611,0.82824,0.88095,0.55578,0.75899,0.48894,0.94088,0.00547429,0.00547429,0.00547429
162,32908.7,1.11444,0.55839,1.05799,0.85638,0.82842,0.88168,0.55625,0.75886,0.4885,0.94089,0.005446,0.005446,0.005446
163,33111.7,1.1169,0.55759,1.05615,0.85614,0.82701,0.88135,0.55651,0.75889,0.4884,0.9409,0.00541771,0.00541771,0.00541771
164,33313.5,1.11713,0.55835,1.05178,0.85733,0.82852,0.88252,0.55686,0.7586,0.48888,0.94092,0.00538943,0.00538943,0.00538943
165,33516.5,1.11479,0.56364,1.05415,0.85647,0.82896,0.8826,0.55754,0.75852,0.48909,0.94079,0.00536114,0.00536114,0.00536114
166,33719.3,1.10523,0.5549,1.05443,0.85758,0.82858,0.88248,0.55789,0.75847,0.48914,0.94079,0.00533286,0.00533286,0.00533286
167,33922.2,1.1169,0.56455,1.05296,0.85888,0.82829,0.88266,0.55767,0.75822,0.48837,0.94077,0.00530457,0.00530457,0.00530457
168,34124.3,1.11686,0.55861,1.05649,0.85905,0.82921,0.88298,0.55782,0.75814,0.48879,0.94074,0.00527629,0.00527629,0.00527629
